variant,side,d,horizon_min,origins,fills,fill_rate,median_bars_to_fill,fills_dropped_no_forward_bar,mean_price_change,n_used,mean,median,std,t_hac,p_raw,ci95_low,ci95_high,family_size,p_bonferroni,p_holm,verdict_holm
A_14bars,buy,0.0005,15,4420,3125,0.7070135746606335,2.0,0,-0.00024873870322388703,3125,-0.00024873870322388687,-0.00017438353065390988,0.0030245022115402576,-4.613122170304686,3.96664989096958e-06,-0.0003544215445449131,-0.0001430558619028606,18.0,7.139969803745244e-05,6.743304814648286e-05,significantly < 0 (adverse selection)
A_14bars,buy,0.0005,30,4420,3125,0.7070135746606335,2.0,0,-0.0002242060630358542,3125,-0.00022420606303585406,-0.0001550100541242161,0.004221398866785748,-3.014020739593156,0.002578101813733084,-0.000370005950136031,-7.84061759356771e-05,18.0,0.046405832647195513,0.03093722176479701,significantly < 0 (adverse selection)
A_14bars,buy,0.0005,60,4420,3125,0.7070135746606335,2.0,0,-0.00023765434342863236,3125,-0.00023765434342863222,-2.1466137168690835e-05,0.005857582304924955,-2.2786220918050657,0.02268953954777831,-0.00044207723338276345,-3.3231453474501027e-05,18.0,0.4084117118600096,0.15882677683444818,consistent with zero
A_14bars,buy,0.001,15,4420,2377,0.5377828054298642,3.0,0,-0.00017263659012372082,2377,-0.00017263659012372066,-9.953133722517826e-05,0.00326788016324231,-2.6048877335385403,0.00919043683037785,-0.00030253382611048846,-4.273935413695286e-05,18.0,0.16542786294680129,0.10109480513415635,consistent with zero
A_14bars,buy,0.001,30,4420,2377,0.5377828054298642,3.0,0,-0.00012278378731412173,2377,-0.0001227837873141218,-2.6240107479424957e-05,0.004486317920925431,-1.3685877291272597,0.17112818187232803,-0.0002986265323671874,5.3058957738943795e-05,18.0,1.0,0.6845127274893121,consistent with zero
A_14bars,buy,0.001,60,4420,2377,0.5377828054298642,3.0,0,-0.00013274089612174783,2377,-0.00013274089612174788,5.698933485298596e-05,0.0062985418966972784,-1.034682819452186,0.30081706211053993,-0.00038419201863712347,0.0001187102263936277,18.0,1.0,0.9024511863316198,consistent with zero
A_14bars,buy,0.002,15,4420,1278,0.2891402714932127,5.0,0,-0.0001921049410362116,1278,-0.00019210494103621164,-9.187203108718123e-06,0.003744780047120089,-1.8582908719083227,0.06312771939089078,-0.000394724288805117,1.0514406732693737e-05,18.0,1.0,0.3156385969544539,consistent with zero
A_14bars,buy,0.002,30,4420,1278,0.2891402714932127,5.0,0,-6.589435500135044e-05,1278,-6.589435500135046e-05,0.00016467718299739698,0.004996971593611292,-0.46907468011603126,0.6390162566398674,-0.000341229906625453,0.00020944119662275209,18.0,1.0,0.9024511863316198,consistent with zero
A_14bars,buy,0.002,60,4420,1278,0.2891402714932127,5.0,0,-0.00016612041022316895,1278,-0.00016612041022316884,5.999330858175167e-05,0.007118875838973572,-0.8266946810226419,0.4084101368990136,-0.0005599731971246651,0.00022773237667832736,18.0,1.0,0.9024511863316198,consistent with zero
A_14bars,sell,0.0005,15,4420,3035,0.6866515837104072,2.0,0,0.0003029533226812227,3035,-0.0003029533226812228,-0.00015589841659191528,0.003374611266389545,-4.857967590056091,1.1859681590620741e-06,-0.00042518314440144977,-0.00018072350096099581,18.0,2.1347426863117333e-05,2.1347426863117333e-05,significantly < 0 (adverse selection)
A_14bars,sell,0.0005,30,4420,3035,0.6866515837104072,2.0,0,0.00030224728902669766,3035,-0.0003022472890266978,-0.00016350199472436877,0.0044136861296358324,-3.793848345372719,0.00014833028996273295,-0.0004583960415763014,-0.00014609853647709424,18.0,0.0026699452193291932,0.0023732846394037273,significantly < 0 (adverse selection)
A_14bars,sell,0.0005,60,4420,3035,0.6866515837104072,2.0,1,0.0003546681545009023,3034,-0.0003546681545009024,-0.0002794703601748383,0.005794316443849615,-3.2831889802290424,0.0010263983383140343,-0.0005663981484207996,-0.00014293816058100518,18.0,0.018475170089652618,0.01436957673639648,significantly < 0 (adverse selection)
A_14bars,sell,0.001,15,4420,2318,0.5244343891402715,3.0,0,0.0002860147181187202,2318,-0.0002860147181187202,-8.997616839279132e-05,0.0036196073031677252,-3.7891073828320248,0.00015118955450419715,-0.0004339621872384,-0.00013806724899904045,18.0,0.002721411981075549,0.0023732846394037273,significantly < 0 (adverse selection)
A_14bars,sell,0.001,30,4420,2318,0.5244343891402715,3.0,1,0.00023628019637430325,2317,-0.00023628019637430322,-3.657644476962041e-05,0.004726480158614819,-2.447513515744902,0.014384573002181036,-0.0004254963873838498,-4.7064005364756635e-05,18.0,0.25892231403925864,0.12544986241244094,consistent with zero
A_14bars,sell,0.001,60,4420,2318,0.5244343891402715,3.0,1,0.00027364992231179643,2317,-0.0002736499223117965,-9.521592856676087e-05,0.006211009490199337,-2.0817496765883132,0.03736534052175331,-0.0005312956199492413,-1.6004224674351624e-05,18.0,0.6725761293915596,0.22419204313051988,consistent with zero
A_14bars,sell,0.002,15,4420,1223,0.27669683257918554,5.0,0,0.0003718528592500403,1223,-0.00037185285925004025,4.18881502606272e-06,0.004163084174360585,-3.184375989359375,0.0014506645297059889,-0.0006007302300647547,-0.0001429754884353258,18.0,0.0261119615347078,0.018858638886177854,significantly < 0 (adverse selection)
A_14bars,sell,0.002,30,4420,1223,0.27669683257918554,5.0,1,0.0003664383554315541,1222,-0.00036643835543155416,-7.405414020345003e-05,0.00540531991060576,-2.4588348139904768,0.013938873601382325,-0.0006585357230787278,-7.434098778438049e-05,18.0,0.2508997248248819,0.12544986241244094,consistent with zero
A_14bars,sell,0.002,60,4420,1223,0.27669683257918554,5.0,1,0.0005454005115527979,1222,-0.0005454005115527981,-0.00010699611162978684,0.007201769538676213,-2.543214702760306,0.010983771404192218,-0.0009657287683386879,-0.0001250722547669083,18.0,0.1977078852754599,0.10983771404192218,consistent with zero
B_15bars,buy,0.0005,15,4420,3161,0.715158371040724,2.0,0,-0.0002466669584436998,3161,-0.0002466669584436997,-0.00016801407364952503,0.003016981382387938,-4.615396849364546,3.923448739998127e-06,-0.0003514179157998837,-0.00014191600108751573,18.0,7.062207731996628e-05,6.669862857996816e-05,significantly < 0 (adverse selection)
B_15bars,buy,0.0005,30,4420,3161,0.715158371040724,2.0,0,-0.00022237970457334943,3161,-0.0002223797045733493,-0.00015941205563907435,0.004218641629190672,-2.994995282711484,0.0027444908617563243,-0.00036791055848813746,-7.684885065856114e-05,18.0,0.04940083551161384,0.03293389034107589,significantly < 0 (adverse selection)
B_15bars,buy,0.0005,60,4420,3161,0.715158371040724,2.0,0,-0.00023883014239057344,3161,-0.00023883014239057336,-2.5072396545144926e-05,0.005844686839223202,-2.301874696903834,0.021342239533328485,-0.0004421892043391482,-3.5471080441998494e-05,18.0,0.3841603115999127,0.1493956767332994,consistent with zero
B_15bars,buy,0.001,15,4420,2430,0.5497737556561086,3.0,0,-0.00017343561101908632,2430,-0.00017343561101908634,-9.567130132193125e-05,0.0032536806395758264,-2.660575588344249,0.00780072156287229,-0.00030120262470087375,-4.566859733729894e-05,18.0,0.14041298813170122,0.07020649406585061,consistent with zero
B_15bars,buy,0.001,30,4420,2430,0.5497737556561086,3.0,0,-0.00012608253458447975,2430,-0.00012608253458447984,-2.603601218137408e-05,0.004471546545301814,-1.4245432878298407,0.15428926355265965,-0.0002995569174949827,4.7391848326023016e-05,18.0,1.0,0.6171570542106386,consistent with zero
B_15bars,buy,0.001,60,4420,2430,0.5497737556561086,3.0,0,-0.00011998372817574234,2430,-0.00011998372817574247,6.943308711626628e-05,0.00625909022482935,-0.9498080827417402,0.34220977814169695,-0.00036757912296919693,0.000127611666617712,18.0,1.0,1.0,consistent with zero
B_15bars,buy,0.002,15,4420,1326,0.3,5.0,0,-0.00017882586833228845,1326,-0.00017882586833228847,8.030422285032479e-06,0.003703179051642122,-1.7879922053107895,0.07377726540397624,-0.00037485507969585907,1.7203343031282095e-05,18.0,1.0,0.36888632701988117,consistent with zero
B_15bars,buy,0.002,30,4420,1326,0.3,5.0,0,-5.0532794500896676e-05,1326,-5.0532794500896635e-05,0.0001480328513756568,0.00494022425726855,-0.37201295070683765,0.7098832070023458,-0.00031677158278385777,0.0002157059937820645,18.0,1.0,1.0,consistent with zero
B_15bars,buy,0.002,60,4420,1326,0.3,5.0,0,-0.00015069153004019744,1326,-0.00015069153004019725,5.999330858175167e-05,0.007018517608157828,-0.7783316039436701,0.4363735486797181,-0.0005301639777504951,0.00022878091767010057,18.0,1.0,1.0,consistent with zero
B_15bars,sell,0.0005,15,4420,3072,0.6950226244343891,2.0,0,0.0002968747253836047,3072,-0.0002968747253836048,-0.00015493236349084505,0.0033628352194095936,-4.816090919422527,1.463978390874306e-06,-0.0004176935536588888,-0.0001760558971083207,18.0,2.6351611035737506e-05,2.6351611035737506e-05,significantly < 0 (adverse selection)
B_15bars,sell,0.0005,30,4420,3072,0.6950226244343891,2.0,0,0.0002975500805089514,3072,-0.00029755008050895144,-0.00015988406069267214,0.004395539178790766,-3.7701725477773724,0.00016313471959496437,-0.0004522374722415546,-0.0001428626887763483,18.0,0.002936424952709359,0.00261015551351943,significantly < 0 (adverse selection)
B_15bars,sell,0.0005,60,4420,3072,0.6950226244343891,2.0,1,0.0003459379041773991,3071,-0.000345937904177399,-0.0002727146915879608,0.005769236033098925,-3.2287213178296055,0.0012434500250254883,-0.0005559400150574701,-0.00013593579329732793,18.0,0.02238210045045879,0.016164850325331347,significantly < 0 (adverse selection)
B_15bars,sell,0.001,15,4420,2373,0.5368778280542986,3.0,0,0.0002747080643087216,2373,-0.0002747080643087216,-7.939928767508597e-05,0.0035952453774762538,-3.688887499155874,0.00022523678033890487,-0.00042066746430893917,-0.0001287486643085041,18.0,0.004054262046100288,0.003378551705083573,significantly < 0 (adverse selection)
B_15bars,sell,0.001,30,4420,2373,0.5368778280542986,3.0,1,0.0002304454862839619,2372,-0.0002304454862839618,-3.5222880147900426e-05,0.0046963673653746965,-2.417303979177498,0.015635953181932213,-0.00041729544682150637,-4.359552574641719e-05,18.0,0.28144715727477987,0.1250876254554577,consistent with zero
B_15bars,sell,0.001,60,4420,2373,0.5368778280542986,3.0,1,0.0002679995374797685,2372,-0.00026799953747976815,-6.433747419098967e-05,0.006184183241654891,-2.062734498913399,0.03913786027782109,-0.0005226513570605482,-1.334771789898812e-05,18.0,0.7044814850007796,0.23482716166692652,consistent with zero
B_15bars,sell,0.002,15,4420,1267,0.2866515837104072,5.0,0,0.00039797572554989963,1267,-0.00039797572554989963,-4.842638463120608e-06,0.0041660685010256725,-3.4595726411421355,0.0005410333221167078,-0.0006234464709250524,-0.00017250498017474684,18.0,0.00973859979810074,0.007574466509633909,significantly < 0 (adverse selection)
